Geoid,Sec_neigh
170317107004,AUBURN GRESHAM
170317105002,AUBURN GRESHAM
170316811004,ENGLEWOOD
170310206022,WEST RIDGE
170316111003,BACK OF THE YARDS
170316716003,ENGLEWOOD
170310206023,WEST RIDGE
170317107003,AUBURN GRESHAM
170316114002,BACK OF THE YARDS
170312513002,AUSTIN
170317108002,AUBURN GRESHAM
170310622002,LAKE VIEW
170316113003,BACK OF THE YARDS
170317106002,AUBURN GRESHAM
170317104002,AUBURN GRESHAM
170314207002,WOODLAWN
170314207001,WOODLAWN
170317108001,AUBURN GRESHAM
170317107002,AUBURN GRESHAM
170310317002,UPTOWN
170317106001,AUBURN GRESHAM
170312513001,AUSTIN
170316117003,BACK OF THE YARDS
170317108005,AUBURN GRESHAM
170317107001,AUBURN GRESHAM
170317105001,AUBURN GRESHAM
170310505001,NORTH CENTER
170316810003,ENGLEWOOD
170314601003,SOUTH CHICAGO
170314401022,"CHATHAM,BURNSIDE"
170316811002,ENGLEWOOD
170316814001,ENGLEWOOD
170316814004,ENGLEWOOD
170317108004,AUBURN GRESHAM
170314603022,SOUTH CHICAGO
170317104003,AUBURN GRESHAM
170314601004,SOUTH CHICAGO
170316909003,"SOUTH SHORE, GRAND CROSSING"
170310505005,NORTH CENTER
170316608003,"MARQUETTE PARK,GAGE PARK"
170312207013,LOGAN SQUARE
170310712001,LINCOLN PARK
170310629003,LAKE VIEW
170316120001,BACK OF THE YARDS
170314207003,WOODLAWN
170316716001,ENGLEWOOD
170316914004,"SOUTH SHORE, GRAND CROSSING"
170315805014,"BRIGHTON PARK,MCKINLEY PARK"
