"RegionType","RegionName","State","CBSA Title","SizeRankCity","SizeRankMetro","PctPriceCut","DaysOnMarket","BuyerSellerIndex","BuyerSellerIndexMetro"
"Zip","30080","GA","""Atlanta-Sandy Springs-Roswell, GA""",1798,9,11.5303983228512,68.5,3.96103896103896,2.61173184357542
"Zip","30062","GA","""Atlanta-Sandy Springs-Roswell, GA""",1816,9,14.0877598152425,91,8.96103896103896,2.61173184357542
"Zip","30052","GA","""Atlanta-Sandy Springs-Roswell, GA""",1818,9,13.1410256410256,85,7.85714285714286,2.61173184357542
"Zip","30041","GA","""Atlanta-Sandy Springs-Roswell, GA""",1820,9,18.1021897810219,93,9.67532467532468,2.61173184357542
"Zip","30331","GA","""Atlanta-Sandy Springs-Roswell, GA""",1825,9,6.06060606060606,88,3.7012987012987,2.61173184357542
"Zip","30022","GA","""Atlanta-Sandy Springs-Roswell, GA""",1872,9,13.2075471698113,69,5.06493506493506,2.61173184357542
"Zip","30127","GA","""Atlanta-Sandy Springs-Roswell, GA""",1942,9,10.0436681222707,74.5,3.57142857142857,2.61173184357542
"Zip","30004","GA","""Atlanta-Sandy Springs-Roswell, GA""",1958,9,14.7971360381862,78,7.66233766233766,2.61173184357542
"Zip","30135","GA","""Atlanta-Sandy Springs-Roswell, GA""",1988,9,11.9318181818182,77,5.71428571428571,2.61173184357542
"Zip","30253","GA","""Atlanta-Sandy Springs-Roswell, GA""",2118,9,12.0162932790224,85.5,7.33766233766234,2.61173184357542
"Zip","30066","GA","""Atlanta-Sandy Springs-Roswell, GA""",2160,9,15.3061224489796,66.5,5.84415584415584,2.61173184357542
"Zip","30263","GA","""Atlanta-Sandy Springs-Roswell, GA""",2204,9,10.2970297029703,87.5,6.16883116883117,2.61173184357542
"Zip","30058","GA","""Atlanta-Sandy Springs-Roswell, GA""",2238,9,7.55813953488372,84,3.76623376623377,2.61173184357542
"Zip","30047","GA","""Atlanta-Sandy Springs-Roswell, GA""",2239,9,13.0434782608696,71,5.19480519480519,2.61173184357542
"Zip","30101","GA","""Atlanta-Sandy Springs-Roswell, GA""",2241,9,11.4503816793893,67,3.44155844155844,2.61173184357542
"Zip","30083","GA","""Atlanta-Sandy Springs-Roswell, GA""",2282,9,8.46774193548387,65,1.23376623376623,2.61173184357542
